# power spectrum of phi_prime/H0 (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.479816e-01   3.331379e-13   1.571860e-04   1.637962e-14   456
  2.488014e-01   2.682292e-13   3.196917e-09   2.349330e-14   108
  2.492626e-01   2.364019e-13   1.577159e-04   1.915063e-14   264
  2.498378e-01   3.015203e-13   1.407083e-04   1.923098e-14   264
  2.506256e-01   3.676583e-13   1.327788e-04   2.536145e-14   312
  2.516065e-01   3.712650e-13   9.866910e-05   3.340170e-14   270
  2.520176e-01   3.974802e-13   1.252729e-04   3.642167e-14   240
  2.527567e-01   3.557423e-13   1.549783e-04   2.799253e-14   384
  2.532054e-01   3.130691e-13   3.596531e-09   2.855652e-14   192
  2.540769e-01   3.945312e-13   1.243495e-04   3.569774e-14   240
  2.545825e-01   3.653026e-13   1.534673e-04   2.525822e-14   336
  2.555333e-01   3.239990e-13   1.544942e-04   1.862483e-14   480
  2.563047e-01   4.112777e-13   5.873111e-09   5.340510e-14   72
  2.567356e-01   3.504786e-13   1.506459e-04   3.226735e-14   240
  2.573216e-01   3.207290e-13   1.415865e-04   2.395530e-14   312
  2.579934e-01   2.742713e-13   1.530210e-04   2.259960e-14   240
  2.590086e-01   3.256822e-13   1.162564e-04   1.873589e-14   408
  2.594104e-01   3.549310e-13   1.064628e-04   2.367136e-14   336
  2.601958e-01   3.477597e-13   1.351816e-04   2.825912e-14   264
  2.605818e-01   2.489631e-13   0.000000e+00   2.071918e-14   144
  2.616557e-01   3.068375e-13   1.873697e-04   1.673062e-14   464
  2.622215e-01   3.097328e-13   1.489973e-04   3.023130e-14   168
  2.627801e-01   2.563064e-13   1.357041e-04   1.901564e-14   336
  2.637897e-01   3.171055e-13   1.425837e-04   1.818724e-14   414
  2.643588e-01   5.034443e-13   1.484211e-04   4.757335e-14   216
  2.650879e-01   4.651390e-13   3.596531e-09   5.569150e-14   96
  2.653856e-01   3.580670e-13   8.042088e-09   2.803921e-14   384
  2.664284e-01   3.610885e-13   1.481344e-04   2.472854e-14   492
  2.669873e-01   4.694686e-13   1.448627e-04   4.333640e-14   240
  2.676189e-01   3.508035e-13   1.470864e-04   2.215426e-14   312
  2.684913e-01   2.979293e-13   1.470380e-04   4.209822e-14   192
  2.690439e-01   3.393737e-13   1.424976e-04   2.468172e-14   504
  2.697770e-01   3.337893e-13   9.433586e-05   2.378845e-14   408
  2.703542e-01   3.250682e-13   2.890096e-04   2.780793e-14   168
  2.710765e-01   3.704634e-13   1.372821e-04   2.275917e-14   288
  2.716826e-01   3.045945e-13   1.432656e-04   2.159158e-14   288
  2.723035e-01   2.422750e-13   1.440903e-04   1.634478e-14   432
  2.732042e-01   3.034468e-13   1.362614e-04   1.999479e-14   216
  2.736854e-01   2.757965e-13   1.359739e-04   1.793930e-14   360
  2.745421e-01   3.191709e-13   1.327092e-04   2.304498e-14   312
  2.753154e-01   4.205572e-13   0.000000e+00   5.078457e-14   48
  2.757611e-01   3.072234e-13   1.422834e-04   1.894571e-14   432
  2.765594e-01   2.791112e-13   2.373302e-04   1.595785e-14   414
  2.770308e-01   3.138744e-13   0.000000e+00   2.571686e-14   312
  2.779102e-01   3.302390e-13   2.082441e-04   2.119993e-14   528
  2.785037e-01   3.095365e-13   1.093105e-04   2.138064e-14   264
  2.792167e-01   3.703110e-13   1.296122e-04   2.699560e-14   480
  2.801483e-01   3.529139e-13   0.000000e+00   2.862795e-14   288
  2.805506e-01   3.143927e-13   1.392643e-04   2.825405e-14   168
  2.812867e-01   3.145212e-13   2.204550e-04   1.702458e-14   504
  2.821143e-01   4.758128e-13   3.390842e-09   4.282323e-14   144
  2.826350e-01   2.749802e-13   1.415850e-04   1.331554e-14   464
  2.834173e-01   3.248044e-13   2.077839e-04   2.416182e-14   432
  2.837886e-01   2.653442e-13   0.000000e+00   2.565496e-14   192
  2.847481e-01   2.426651e-13   1.540373e-04   1.473092e-14   396
  2.853147e-01   2.639775e-13   1.383680e-04   2.138887e-14   288
  2.858874e-01   2.523489e-13   1.366839e-04   1.631546e-14   336
  2.868021e-01   2.929900e-13   8.655099e-05   2.052608e-14   432
  2.873827e-01   2.867420e-13   2.243281e-04   2.033872e-14   360
  2.880345e-01   2.893169e-13   1.326934e-04   1.444194e-14   384
  2.889603e-01   3.024306e-13   1.171274e-04   3.169571e-14   198
  2.894063e-01   2.910281e-13   1.331357e-04   1.530066e-14   552
  2.902381e-01   3.588002e-13   1.863809e-04   2.476483e-14   432
  2.909325e-01   3.014474e-13   4.110321e-09   2.844707e-14   168
  2.915153e-01   3.720134e-13   2.310442e-04   2.229118e-14   480
  2.922863e-01   2.498502e-13   4.069010e-09   2.259297e-14   120
  2.926334e-01   3.534734e-13   1.887069e-04   2.856633e-14   336
  2.934802e-01   2.882694e-13   1.331298e-04   1.508696e-14   672
  2.943175e-01   3.963365e-13   1.936554e-04   2.416159e-14   528
  2.947075e-01   2.081947e-13   0.000000e+00   1.449557e-14   168
  2.956085e-01   2.992733e-13   2.160213e-04   1.862892e-14   456
  2.961583e-01   3.867151e-13   1.319260e-04   4.362992e-14   168
  2.967291e-01   3.273223e-13   1.316892e-04   1.991077e-14   504
  2.976778e-01   2.334627e-13   1.694638e-04   1.544225e-14   336
  2.982515e-01   3.063972e-13   1.221633e-04   2.710145e-14   312
  2.988879e-01   2.880707e-13   1.193619e-04   1.792161e-14   504
  2.997254e-01   2.714617e-13   8.281656e-05   1.687975e-14   432
  3.001192e-01   3.304469e-13   1.279790e-04   2.728061e-14   312
  3.009377e-01   2.814066e-13   1.311847e-04   1.727235e-14   384
