# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.579934e-01   3.436014e-01   1.530210e-04   2.372234e-02   240
  2.590086e-01   4.546662e-01   1.162564e-04   2.290242e-02   408
  2.594104e-01   4.161737e-01   1.064628e-04   2.542368e-02   336
  2.601958e-01   4.516684e-01   1.351816e-04   3.272189e-02   264
  2.605818e-01   3.438063e-01   0.000000e+00   3.121188e-02   144
  2.616557e-01   3.749353e-01   1.873697e-04   1.914524e-02   464
  2.622215e-01   3.749692e-01   1.489973e-04   3.062028e-02   168
  2.627801e-01   3.673886e-01   1.357041e-04   2.230942e-02   336
  2.637897e-01   4.549802e-01   1.425837e-04   2.609679e-02   414
  2.643588e-01   4.109285e-01   1.484211e-04   3.069251e-02   216
  2.650879e-01   6.773364e-01   3.596531e-09   7.782419e-02   96
  2.653856e-01   4.626472e-01   8.042088e-09   2.744557e-02   384
  2.664284e-01   4.652199e-01   1.481344e-04   2.345143e-02   492
  2.669873e-01   5.157789e-01   1.448627e-04   4.293488e-02   240
  2.676189e-01   3.647680e-01   1.470864e-04   2.378765e-02   312
  2.684913e-01   3.631241e-01   1.470380e-04   3.513518e-02   192
  2.690439e-01   3.674453e-01   1.424976e-04   1.979171e-02   504
  2.697770e-01   3.888902e-01   9.433586e-05   2.358024e-02   408
  2.703542e-01   3.928633e-01   2.890096e-04   3.684378e-02   168
  2.710765e-01   5.312051e-01   1.372821e-04   3.901691e-02   288
  2.716826e-01   4.853465e-01   1.432656e-04   3.608017e-02   288
  2.723035e-01   3.307695e-01   1.440903e-04   1.806290e-02   432
  2.732042e-01   4.302809e-01   1.362614e-04   3.422009e-02   216
  2.736854e-01   3.962302e-01   1.359739e-04   2.727262e-02   360
  2.745421e-01   3.909591e-01   1.327092e-04   2.975662e-02   312
  2.753154e-01   6.636110e-01   0.000000e+00   9.034107e-02   48
  2.757611e-01   4.141601e-01   1.422834e-04   2.384481e-02   432
  2.765594e-01   3.940635e-01   2.373302e-04   2.021226e-02   414
  2.770308e-01   5.132283e-01   0.000000e+00   3.415776e-02   312
  2.779102e-01   4.611338e-01   2.082441e-04   2.911570e-02   528
  2.785037e-01   5.326959e-01   1.093105e-04   3.879808e-02   264
  2.792167e-01   4.192348e-01   1.296122e-04   2.481829e-02   480
  2.801483e-01   4.245805e-01   0.000000e+00   2.817279e-02   288
  2.805506e-01   4.130342e-01   1.392643e-04   3.525213e-02   168
  2.812867e-01   5.085659e-01   2.204550e-04   2.933669e-02   504
  2.821143e-01   5.835332e-01   3.390842e-09   5.712001e-02   144
  2.826350e-01   4.100677e-01   1.415850e-04   2.330185e-02   464
  2.834173e-01   4.005062e-01   2.077839e-04   2.242816e-02   432
  2.837886e-01   4.414925e-01   0.000000e+00   4.450612e-02   192
  2.847481e-01   4.388703e-01   1.540373e-04   4.012078e-02   396
  2.853147e-01   3.183807e-01   1.383680e-04   2.343916e-02   288
  2.858874e-01   3.953245e-01   1.366839e-04   2.748782e-02   336
  2.868021e-01   4.094829e-01   8.655099e-05   2.694607e-02   432
  2.873827e-01   3.707786e-01   2.243281e-04   2.146274e-02   360
  2.880345e-01   3.881376e-01   1.326934e-04   2.117790e-02   384
  2.889603e-01   3.659173e-01   1.171274e-04   2.975373e-02   198
  2.894063e-01   3.512219e-01   1.331357e-04   1.590035e-02   552
  2.902381e-01   4.580227e-01   1.863809e-04   2.754175e-02   432
  2.909325e-01   4.517317e-01   4.110321e-09   4.025891e-02   168
  2.915153e-01   4.850488e-01   2.310442e-04   2.910632e-02   480
  2.922863e-01   4.845062e-01   4.069010e-09   4.389374e-02   120
  2.926334e-01   4.732897e-01   1.887069e-04   2.869669e-02   336
  2.934802e-01   4.251954e-01   1.331298e-04   2.160089e-02   672
  2.943175e-01   4.449951e-01   1.936554e-04   2.348499e-02   528
  2.947075e-01   2.771476e-01   0.000000e+00   2.531035e-02   168
  2.956085e-01   4.179172e-01   2.160213e-04   2.488659e-02   456
  2.961583e-01   5.670426e-01   1.319260e-04   7.454256e-02   168
  2.967291e-01   4.207925e-01   1.316892e-04   2.285676e-02   504
  2.976778e-01   3.928520e-01   1.694638e-04   2.918933e-02   336
  2.982515e-01   4.374677e-01   1.221633e-04   3.646659e-02   312
  2.988879e-01   4.513367e-01   1.193619e-04   2.622028e-02   504
  2.997254e-01   4.360377e-01   8.281656e-05   2.379801e-02   432
  3.001192e-01   3.677093e-01   1.279790e-04   2.615092e-02   312
  3.009377e-01   3.803949e-01   1.311847e-04   2.119632e-02   384
  3.017923e-01   6.299836e-01   1.114566e-04   6.936635e-02   126
  3.023199e-01   4.591545e-01   1.956913e-04   2.604900e-02   492
  3.029938e-01   5.162609e-01   1.253405e-04   3.158129e-02   528
  3.038360e-01   4.136775e-01   1.273190e-04   2.310816e-02   480
  3.043581e-01   4.934433e-01   1.758905e-04   2.950206e-02   432
  3.051137e-01   4.083284e-01   1.383146e-04   2.571991e-02   440
  3.059913e-01   4.395144e-01   6.878330e-05   3.339098e-02   312
  3.063206e-01   4.129165e-01   1.030775e-04   2.188344e-02   480
  3.069960e-01   3.900398e-01   2.018238e-04   2.047196e-02   408
  3.079829e-01   4.843124e-01   1.208696e-04   3.017611e-02   360
  3.083998e-01   4.097885e-01   1.166348e-04   2.391894e-02   408
  3.091725e-01   4.448510e-01   1.186907e-04   2.885159e-02   456
  3.100425e-01   4.463924e-01   1.134390e-04   3.159787e-02   264
  3.105254e-01   4.224560e-01   1.231098e-04   2.353148e-02   384
  3.112283e-01   3.715373e-01   2.072640e-04   1.673210e-02   672
  3.120409e-01   5.357706e-01   1.239707e-04   4.496344e-02   240
  3.125099e-01   3.970554e-01   1.257992e-04   2.728807e-02   264
  3.131717e-01   3.372896e-01   1.551526e-04   1.664401e-02   624
  3.141593e-01   3.742835e-01   0.000000e+00   4.207372e-02   150
  3.145109e-01   4.991986e-01   1.738607e-04   2.430745e-02   600
  3.152524e-01   5.608642e-01   1.199942e-04   3.297990e-02   672
  3.160921e-01   4.203192e-01   1.128630e-04   2.570711e-02   336
  3.165599e-01   4.806171e-01   1.227621e-04   2.863605e-02   408
  3.173072e-01   4.388849e-01   1.224729e-04   2.648310e-02   408
  3.181385e-01   4.913630e-01   6.192886e-05   3.305451e-02   360
  3.186510e-01   4.522106e-01   2.273829e-04   2.901828e-02   456
  3.192699e-01   4.554536e-01   1.236522e-04   2.777391e-02   384
  3.200577e-01   3.164549e-01   1.141466e-04   1.887337e-02   348
  3.204835e-01   5.142846e-01   1.407202e-04   2.725484e-02   576
  3.212832e-01   4.302417e-01   1.158646e-04   2.337817e-02   504
  3.221013e-01   4.502671e-01   1.634203e-04   2.569373e-02   432
  3.228154e-01   4.805450e-01   2.223325e-04   2.699105e-02   576
  3.233247e-01   3.670435e-01   5.231318e-09   3.177450e-02   264
  3.241325e-01   4.165230e-01   1.769212e-04   1.667563e-02   768
  3.248351e-01   3.192413e-01   2.381921e-04   2.111990e-02   240
  3.253937e-01   4.177953e-01   2.100629e-04   3.941780e-02   192
  3.262073e-01   3.764813e-01   1.546319e-04   2.066880e-02   504
  3.268108e-01   4.728994e-01   2.083724e-04   2.204062e-02   590
  3.273894e-01   5.006132e-01   2.334698e-04   4.585749e-02   384
  3.281151e-01   4.423247e-01   1.951120e-04   2.668277e-02   504
  3.289911e-01   4.548566e-01   1.877651e-04   2.522639e-02   648
  3.298409e-01   4.040152e-01   5.099453e-05   2.574746e-02   504
  3.301835e-01   4.623424e-01   1.163281e-04   4.061389e-02   312
  3.307884e-01   4.869789e-01   1.676002e-04   2.301493e-02   576
  3.316189e-01   4.620567e-01   1.166339e-04   3.131813e-02   240
  3.321030e-01   3.764628e-01   1.178530e-04   1.967768e-02   552
  3.327882e-01   4.549942e-01   1.106612e-04   2.477998e-02   600
  3.337643e-01   4.279415e-01   1.351639e-04   2.996128e-02   600
  3.343511e-01   3.806981e-01   2.164544e-04   2.906285e-02   312
  3.349356e-01   4.515526e-01   1.885103e-04   2.641205e-02   480
  3.356656e-01   3.717954e-01   1.176123e-04   1.974595e-02   576
  3.363084e-01   4.394525e-01   1.893814e-04   2.857006e-02   408
  3.368787e-01   2.769358e-01   2.209222e-04   2.267140e-02   216
  3.376156e-01   4.059049e-01   1.692015e-04   2.092958e-02   516
  3.384050e-01   4.148447e-01   1.614354e-04   2.038603e-02   744
  3.392194e-01   4.911689e-01   1.078246e-04   2.801526e-02   462
  3.396796e-01   4.191489e-01   1.095881e-04   2.849430e-02   432
  3.403934e-01   4.841085e-01   1.016670e-04   3.009889e-02   648
  3.412327e-01   4.982608e-01   1.487578e-04   3.780639e-02   528
  3.419069e-01   4.396689e-01   1.791415e-04   2.310051e-02   600
  3.425805e-01   6.388684e-01   2.258506e-04   5.481787e-02   240
  3.432329e-01   4.414742e-01   1.729994e-04   2.386386e-02   720
