# power spectrum of zeta (dimensionless)
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.132584e-01   2.310421e-12   0.000000e+00   2.845051e-13   36
  2.138874e-01   1.612887e-12   1.689411e-04   8.294725e-14   342
  2.144889e-01   1.949446e-12   1.734820e-04   1.743132e-13   144
  2.152621e-01   1.605519e-12   1.819392e-04   9.997135e-14   384
  2.162000e-01   1.478949e-12   4.983500e-09   1.297189e-13   120
  2.166643e-01   2.045746e-12   1.622368e-04   1.287009e-13   264
  2.172929e-01   1.491449e-12   8.042088e-09   1.183226e-13   192
  2.178848e-01   1.170918e-12   1.748412e-04   1.021561e-13   152
  2.183802e-01   1.862383e-12   2.397687e-09   1.914047e-13   144
  2.194222e-01   1.431028e-12   1.131589e-04   1.204423e-13   216
  2.199045e-01   1.585117e-12   1.512105e-04   9.421119e-14   312
  2.207535e-01   1.498618e-12   1.752500e-04   9.010047e-14   240
  2.212538e-01   1.058626e-12   2.543132e-09   1.092752e-13   96
  2.222033e-01   1.190406e-12   1.675517e-04   1.191610e-13   144
  2.227885e-01   1.092299e-12   1.646885e-04   5.057939e-14   456
  2.237379e-01   1.104746e-12   0.000000e+00   9.217336e-14   120
  2.240905e-01   1.414694e-12   0.000000e+00   1.421665e-13   144
  2.247941e-01   1.822613e-12   0.000000e+00   3.317897e-13   24
  2.252452e-01   1.186129e-12   1.583038e-04   6.077508e-14   336
  2.260253e-01   1.308629e-12   1.745876e-04   9.392561e-14   198
  2.267563e-01   1.303403e-12   1.697764e-04   7.757274e-14   432
  2.275867e-01   2.322183e-12   0.000000e+00   3.755435e-13   48
  2.280199e-01   1.454381e-12   1.498832e-04   8.450040e-14   384
  2.287976e-01   1.113218e-12   1.725473e-04   9.905377e-14   144
  2.295024e-01   1.495420e-12   1.713168e-04   1.066749e-13   264
  2.303454e-01   1.491935e-12   2.543132e-09   1.566226e-13   48
  2.309110e-01   1.250829e-12   1.628943e-04   7.999973e-14   276
  2.314567e-01   1.131391e-12   1.476593e-04   8.078744e-14   192
  2.321860e-01   1.126840e-12   1.659366e-04   4.623630e-14   552
  2.330715e-01   1.500658e-12   2.877225e-09   2.018821e-13   120
  2.335978e-01   1.046944e-12   1.679687e-04   6.790231e-14   216
  2.340855e-01   1.517809e-12   4.069010e-09   1.448263e-13   120
  2.349569e-01   1.280154e-12   1.654080e-04   5.889625e-14   408
  2.357660e-01   5.046244e-13   3.596531e-09   7.388579e-14   24
  2.362678e-01   1.222698e-12   1.670919e-04   5.924694e-14   384
  2.369685e-01   1.049340e-12   1.632547e-04   6.122113e-14   240
  2.375770e-01   1.273284e-12   1.644502e-04   8.162433e-14   168
  2.384301e-01   9.905340e-13   0.000000e+00   1.293757e-13   120
  2.389801e-01   1.057969e-12   1.714308e-04   6.330646e-14   350
  2.398744e-01   1.474554e-12   2.822081e-04   9.875263e-14   384
  2.404088e-01   1.379219e-12   0.000000e+00   1.284319e-13   144
  2.413921e-01   1.062425e-12   0.000000e+00   6.841898e-14   288
  2.419055e-01   1.325279e-12   1.615394e-04   8.112772e-14   336
  2.426039e-01   1.035355e-12   1.470682e-04   8.835099e-14   168
  2.430220e-01   1.316411e-12   6.498988e-09   6.604537e-14   336
  2.438868e-01   9.386893e-13   1.526480e-04   6.762056e-14   288
  2.444062e-01   1.247408e-12   1.438335e-04   9.309603e-14   264
  2.452858e-01   1.136238e-12   0.000000e+00   9.049978e-14   240
  2.456075e-01   9.227058e-13   3.596531e-09   1.036342e-13   96
  2.467620e-01   1.227969e-12   1.956039e-04   6.962943e-14   360
  2.473008e-01   1.387202e-12   1.441936e-04   1.493856e-13   168
  2.479816e-01   9.894873e-13   1.571860e-04   5.072567e-14   456
  2.488014e-01   1.136642e-12   3.196917e-09   1.160896e-13   108
  2.492626e-01   8.370862e-13   1.577159e-04   5.056638e-14   264
  2.498378e-01   8.619437e-13   1.407083e-04   5.213681e-14   264
  2.506256e-01   9.192729e-13   1.327788e-04   5.226382e-14   312
  2.516065e-01   9.428350e-13   9.866910e-05   5.902115e-14   270
  2.520176e-01   1.192615e-12   1.252729e-04   8.429639e-14   240
  2.527567e-01   1.070276e-12   1.549783e-04   7.125973e-14   384
  2.532054e-01   9.728163e-13   3.596531e-09   6.886600e-14   192
  2.540769e-01   1.136178e-12   1.243495e-04   7.311383e-14   240
  2.545825e-01   1.088582e-12   1.534673e-04   5.984901e-14   336
  2.555333e-01   9.812117e-13   1.544942e-04   4.325045e-14   480
  2.563047e-01   1.758801e-12   5.873111e-09   3.317424e-13   72
  2.567356e-01   1.065264e-12   1.506459e-04   7.004865e-14   240
  2.573216e-01   1.099713e-12   1.415865e-04   7.575076e-14   312
  2.579934e-01   8.249872e-13   1.530210e-04   5.635396e-14   240
  2.590086e-01   1.040844e-12   1.162564e-04   5.168491e-14   408
  2.594104e-01   9.464324e-13   1.064628e-04   5.355255e-14   336
  2.601958e-01   9.804962e-13   1.351816e-04   6.446166e-14   264
  2.605818e-01   7.590431e-13   0.000000e+00   6.495014e-14   144
  2.616557e-01   8.220692e-13   1.873697e-04   4.142317e-14   464
  2.622215e-01   9.105830e-13   1.489973e-04   6.655394e-14   168
  2.627801e-01   8.368133e-13   1.357041e-04   5.218392e-14   336
  2.637897e-01   9.813383e-13   1.425837e-04   5.233617e-14   414
  2.643588e-01   9.738636e-13   1.484211e-04   6.824155e-14   216
  2.650879e-01   1.584971e-12   3.596531e-09   1.485326e-13   96
  2.653856e-01   1.052444e-12   8.042088e-09   6.507301e-14   384
  2.664284e-01   1.047998e-12   1.481344e-04   5.151462e-14   492
  2.669873e-01   1.134055e-12   1.448627e-04   8.540819e-14   240
  2.676189e-01   8.395086e-13   1.470864e-04   5.485028e-14   312
  2.684913e-01   6.978003e-13   1.470380e-04   6.862619e-14   192
  2.690439e-01   8.167358e-13   1.424976e-04   4.155072e-14   504
  2.697770e-01   8.534907e-13   9.433586e-05   5.420037e-14   408
  2.703542e-01   7.979818e-13   2.890096e-04   6.618777e-14   168
  2.710765e-01   1.160493e-12   1.372821e-04   8.065578e-14   288
  2.716826e-01   1.006975e-12   1.432656e-04   7.041384e-14   288
  2.723035e-01   6.341270e-13   1.440903e-04   3.317603e-14   432
  2.732042e-01   9.155472e-13   1.362614e-04   8.037899e-14   216
  2.736854e-01   8.208175e-13   1.359739e-04   5.482444e-14   360
  2.745421e-01   7.965774e-13   1.327092e-04   6.024920e-14   312
  2.753154e-01   1.404264e-12   0.000000e+00   1.892851e-13   48
  2.757611e-01   8.034479e-13   1.422834e-04   4.686734e-14   432
  2.765594e-01   8.286365e-13   2.373302e-04   4.754168e-14   414
  2.770308e-01   1.028365e-12   0.000000e+00   7.247143e-14   312
  2.779102e-01   8.754670e-13   2.082441e-04   5.656242e-14   528
  2.785037e-01   1.032575e-12   1.093105e-04   7.400179e-14   264
  2.792167e-01   8.452977e-13   1.296122e-04   4.544514e-14   480
  2.801483e-01   7.931996e-13   0.000000e+00   5.133550e-14   288
  2.805506e-01   7.927239e-13   1.392643e-04   6.285632e-14   168
  2.812867e-01   9.796695e-13   2.204550e-04   5.524622e-14   504
  2.821143e-01   1.179025e-12   3.390842e-09   1.390761e-13   144
  2.826350e-01   7.667321e-13   1.415850e-04   3.738393e-14   464
  2.834173e-01   7.244668e-13   2.077839e-04   3.947427e-14   432
  2.837886e-01   8.155085e-13   0.000000e+00   8.529743e-14   192
  2.847481e-01   8.467927e-13   1.540373e-04   7.221199e-14   396
  2.853147e-01   5.889672e-13   1.383680e-04   4.533566e-14   288
  2.858874e-01   7.117181e-13   1.366839e-04   4.616951e-14   336
  2.868021e-01   7.295591e-13   8.655099e-05   5.026672e-14   432
  2.873827e-01   6.336296e-13   2.243281e-04   3.526566e-14   360
  2.880345e-01   7.237916e-13   1.326934e-04   3.668054e-14   384
  2.889603e-01   6.427124e-13   1.171274e-04   5.127574e-14   198
  2.894063e-01   6.361962e-13   1.331357e-04   2.851127e-14   552
  2.902381e-01   8.379168e-13   1.863809e-04   4.764631e-14   432
  2.909325e-01   7.759118e-13   4.110321e-09   6.223921e-14   168
  2.915153e-01   9.057345e-13   2.310442e-04   4.941146e-14   480
  2.922863e-01   9.142705e-13   4.069010e-09   8.124156e-14   120
  2.926334e-01   8.608069e-13   1.887069e-04   5.568327e-14   336
  2.934802e-01   7.286925e-13   1.331298e-04   3.570362e-14   672
  2.943175e-01   7.533214e-13   1.936554e-04   3.657158e-14   528
  2.947075e-01   4.951945e-13   0.000000e+00   4.269032e-14   168
  2.956085e-01   7.218877e-13   2.160213e-04   4.130714e-14   456
  2.961583e-01   9.304482e-13   1.319260e-04   1.120214e-13   168
  2.967291e-01   7.314281e-13   1.316892e-04   3.773843e-14   504
  2.976778e-01   6.108967e-13   1.694638e-04   3.979914e-14   336
  2.982515e-01   7.203703e-13   1.221633e-04   5.424504e-14   312
  2.988879e-01   7.394827e-13   1.193619e-04   3.827928e-14   504
  2.997254e-01   7.134126e-13   8.281656e-05   3.578170e-14   432
  3.001192e-01   5.715878e-13   1.279790e-04   3.521084e-14   312
  3.009377e-01   6.158428e-13   1.311847e-04   3.468600e-14   384
  3.017923e-01   1.019096e-12   1.114566e-04   1.174840e-13   126
  3.023199e-01   7.719831e-13   1.956913e-04   4.434775e-14   492
  3.029938e-01   8.984818e-13   1.253405e-04   5.604874e-14   528
  3.038360e-01   7.051908e-13   1.273190e-04   4.314418e-14   480
  3.043581e-01   7.970814e-13   1.758905e-04   4.617828e-14   432
  3.051137e-01   7.320167e-13   1.383146e-04   4.848498e-14   440
  3.059913e-01   6.885945e-13   6.878330e-05   5.073885e-14   312
  3.063206e-01   6.580986e-13   1.030775e-04   3.380814e-14   480
  3.069960e-01   6.429507e-13   2.018238e-04   3.164487e-14   408
  3.079829e-01   7.957805e-13   1.208696e-04   5.264671e-14   360
  3.083998e-01   6.713997e-13   1.166348e-04   4.031934e-14   408
  3.091725e-01   6.464974e-13   1.186907e-04   4.039606e-14   456
  3.100425e-01   7.197134e-13   1.134390e-04   5.029961e-14   264
  3.105254e-01   7.085688e-13   1.231098e-04   4.230428e-14   384
  3.112283e-01   5.593832e-13   2.072640e-04   2.497483e-14   672
  3.120409e-01   9.375926e-13   1.239707e-04   8.254529e-14   240
  3.125099e-01   6.353933e-13   1.257992e-04   4.430160e-14   264
  3.131717e-01   4.922052e-13   1.551526e-04   2.226655e-14   624
  3.141593e-01   5.363929e-13   0.000000e+00   6.827083e-14   150
  3.145109e-01   7.873290e-13   1.738607e-04   3.881054e-14   600
  3.152524e-01   8.608297e-13   1.199942e-04   4.955691e-14   672
  3.160921e-01   5.855999e-13   1.128630e-04   3.724133e-14   336
  3.165599e-01   7.326832e-13   1.227621e-04   4.259246e-14   408
  3.173072e-01   6.409914e-13   1.224729e-04   3.641612e-14   408
  3.181385e-01   7.621782e-13   6.192886e-05   5.166271e-14   360
  3.186510e-01   7.227735e-13   2.273829e-04   5.037196e-14   456
  3.192699e-01   6.617967e-13   1.236522e-04   4.064161e-14   384
  3.200577e-01   4.342539e-13   1.141466e-04   2.258138e-14   348
  3.204835e-01   7.657204e-13   1.407202e-04   4.175713e-14   576
  3.212832e-01   6.200618e-13   1.158646e-04   3.330517e-14   504
  3.221013e-01   6.323099e-13   1.634203e-04   3.495499e-14   432
  3.228154e-01   6.970196e-13   2.223325e-04   3.783583e-14   576
  3.233247e-01   5.410574e-13   5.231318e-09   4.928958e-14   264
  3.241325e-01   5.895682e-13   1.769212e-04   2.448337e-14   768
  3.248351e-01   4.331658e-13   2.381921e-04   2.795952e-14   240
  3.253937e-01   5.608214e-13   2.100629e-04   5.339601e-14   192
  3.262073e-01   5.257855e-13   1.546319e-04   2.737365e-14   504
  3.268108e-01   7.362181e-13   2.083724e-04   3.522142e-14   590
  3.273894e-01   7.041438e-13   2.334698e-04   5.712890e-14   384
  3.281151e-01   6.417908e-13   1.951120e-04   3.940937e-14   504
  3.289911e-01   6.237566e-13   1.877651e-04   3.087352e-14   648
  3.298409e-01   5.604220e-13   5.099453e-05   3.751160e-14   504
  3.301835e-01   6.543864e-13   1.163281e-04   6.314773e-14   312
  3.307884e-01   7.055664e-13   1.676002e-04   3.378969e-14   576
  3.316189e-01   6.616912e-13   1.166339e-04   4.673243e-14   240
  3.321030e-01   4.961117e-13   1.178530e-04   2.522144e-14   552
  3.327882e-01   6.218586e-13   1.106612e-04   3.397106e-14   600
