# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.650879e-01   1.576743e-23   3.596531e-09   1.548315e-24   96
  2.653856e-01   1.552577e-23   8.042088e-09   5.640141e-25   384
  2.664284e-01   1.490077e-23   1.481344e-04   4.994971e-25   492
  2.669873e-01   1.688685e-23   1.448627e-04   9.632604e-25   240
  2.676189e-01   1.673034e-23   1.470864e-04   7.656337e-25   312
  2.684913e-01   1.211660e-23   1.470380e-04   6.327538e-25   192
  2.690439e-01   1.338281e-23   1.424976e-04   5.104261e-25   504
  2.697770e-01   1.368795e-23   9.433586e-05   5.394323e-25   408
  2.703542e-01   1.204375e-23   2.890096e-04   6.355496e-25   168
  2.710765e-01   1.482096e-23   1.372821e-04   6.747684e-25   288
  2.716826e-01   1.286929e-23   1.432656e-04   6.052686e-25   288
  2.723035e-01   1.223649e-23   1.440903e-04   3.749604e-25   432
  2.732042e-01   1.150487e-23   1.362614e-04   5.392798e-25   216
  2.736854e-01   1.269963e-23   1.359739e-04   4.774758e-25   360
  2.745421e-01   1.266867e-23   1.327092e-04   5.450187e-25   312
  2.753154e-01   1.274613e-23   0.000000e+00   9.878320e-25   48
  2.757611e-01   1.097101e-23   1.422834e-04   3.788892e-25   432
  2.765594e-01   1.253307e-23   2.373302e-04   5.323777e-25   414
  2.770308e-01   1.116766e-23   0.000000e+00   4.585863e-25   312
  2.779102e-01   1.216331e-23   2.082441e-04   4.589494e-25   528
  2.785037e-01   1.374930e-23   1.093105e-04   6.575368e-25   264
  2.792167e-01   1.260796e-23   1.296122e-04   4.301466e-25   480
  2.801483e-01   1.294257e-23   0.000000e+00   5.784240e-25   288
  2.805506e-01   1.116761e-23   1.392643e-04   6.786186e-25   168
  2.812867e-01   1.228382e-23   2.204550e-04   4.551273e-25   504
  2.821143e-01   1.281658e-23   3.390842e-09   9.193821e-25   144
  2.826350e-01   1.185537e-23   1.415850e-04   4.398198e-25   464
  2.834173e-01   1.104282e-23   2.077839e-04   4.339592e-25   432
  2.837886e-01   1.139713e-23   0.000000e+00   6.218257e-25   192
  2.847481e-01   1.086088e-23   1.540373e-04   4.114779e-25   396
  2.853147e-01   1.080551e-23   1.383680e-04   4.873825e-25   288
  2.858874e-01   1.010765e-23   1.366839e-04   3.760941e-25   336
  2.868021e-01   1.052170e-23   8.655099e-05   3.892773e-25   432
  2.873827e-01   1.066128e-23   2.243281e-04   4.749815e-25   360
  2.880345e-01   1.018759e-23   1.326934e-04   3.620127e-25   384
  2.889603e-01   1.012829e-23   1.171274e-04   4.964570e-25   198
  2.894063e-01   1.132713e-23   1.331357e-04   3.658826e-25   552
  2.902381e-01   1.086893e-23   1.863809e-04   4.528441e-25   432
  2.909325e-01   1.037932e-23   4.110321e-09   5.442361e-25   168
  2.915153e-01   1.234667e-23   2.310442e-04   4.210265e-25   480
  2.922863e-01   1.035855e-23   4.069010e-09   9.124868e-25   120
  2.926334e-01   1.043283e-23   1.887069e-04   5.089478e-25   336
  2.934802e-01   1.010188e-23   1.331298e-04   2.905949e-25   672
  2.943175e-01   1.188552e-23   1.936554e-04   3.988336e-25   528
  2.947075e-01   7.774513e-24   0.000000e+00   3.828851e-25   168
  2.956085e-01   1.011246e-23   2.160213e-04   3.753492e-25   456
  2.961583e-01   1.029409e-23   1.319260e-04   7.113409e-25   168
  2.967291e-01   1.080685e-23   1.316892e-04   3.669328e-25   504
  2.976778e-01   8.795032e-24   1.694638e-04   3.811625e-25   336
  2.982515e-01   1.028045e-23   1.221633e-04   4.549384e-25   312
  2.988879e-01   9.316875e-24   1.193619e-04   2.978120e-25   504
  2.997254e-01   8.903893e-24   8.281656e-05   3.676780e-25   432
  3.001192e-01   9.325708e-24   1.279790e-04   3.950028e-25   312
  3.009377e-01   8.110970e-24   1.311847e-04   3.589522e-25   384
  3.017923e-01   1.284507e-23   1.114566e-04   1.170513e-24   126
  3.023199e-01   9.756529e-24   1.956913e-04   3.669297e-25   492
  3.029938e-01   9.445428e-24   1.253405e-04   3.353503e-25   528
  3.038360e-01   8.731324e-24   1.273190e-04   3.326738e-25   480
  3.043581e-01   1.041729e-23   1.758905e-04   5.505951e-25   432
  3.051137e-01   8.760005e-24   1.383146e-04   3.656482e-25   440
  3.059913e-01   9.933006e-24   6.878330e-05   4.996946e-25   312
  3.063206e-01   8.563217e-24   1.030775e-04   2.939763e-25   480
  3.069960e-01   9.221969e-24   2.018238e-04   3.867548e-25   408
  3.079829e-01   9.446421e-24   1.208696e-04   4.313176e-25   360
  3.083998e-01   8.923642e-24   1.166348e-04   3.913802e-25   408
  3.091725e-01   7.963697e-24   1.186907e-04   3.104552e-25   456
  3.100425e-01   9.481061e-24   1.134390e-04   6.115522e-25   264
  3.105254e-01   8.762856e-24   1.231098e-04   4.311086e-25   384
