# cross power spectrum of delta_m and  delta_kgb
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.212538e-01   1.090870e-02   2.543132e-09   1.215721e-03   96
  2.222033e-01   1.085708e-02   1.675517e-04   1.097877e-03   144
  2.227885e-01   1.044799e-02   1.646885e-04   5.062585e-04   456
  2.237379e-01   1.090837e-02   0.000000e+00   1.010820e-03   120
  2.240905e-01   1.433340e-02   0.000000e+00   1.434630e-03   144
  2.247941e-01   1.678089e-02   0.000000e+00   3.079073e-03   24
  2.252452e-01   1.200884e-02   1.583038e-04   6.670301e-04   336
  2.260253e-01   1.255717e-02   1.745876e-04   8.872339e-04   198
  2.267563e-01   1.298718e-02   1.697764e-04   7.303153e-04   432
  2.275867e-01   2.448547e-02   0.000000e+00   4.508334e-03   48
  2.280199e-01   1.405710e-02   1.498832e-04   8.481557e-04   384
  2.287976e-01   1.185886e-02   1.725473e-04   1.074085e-03   144
  2.295024e-01   1.569013e-02   1.713168e-04   1.112549e-03   264
  2.303454e-01   1.374035e-02   2.543132e-09   1.594693e-03   48
  2.309110e-01   1.303136e-02   1.628943e-04   8.649760e-04   276
  2.314567e-01   1.199477e-02   1.476593e-04   8.338823e-04   192
  2.321860e-01   1.250163e-02   1.659366e-04   5.391537e-04   552
  2.330715e-01   1.509587e-02   2.877225e-09   1.932402e-03   120
  2.335978e-01   1.220463e-02   1.679687e-04   8.588911e-04   216
  2.340855e-01   1.630626e-02   4.069010e-09   1.643070e-03   120
  2.349569e-01   1.425837e-02   1.654080e-04   6.600501e-04   408
  2.357660e-01   5.936586e-03   3.596531e-09   9.902703e-04   24
  2.362678e-01   1.408043e-02   1.670919e-04   7.211856e-04   384
  2.369685e-01   1.160381e-02   1.632547e-04   6.751317e-04   240
  2.375770e-01   1.296738e-02   1.644502e-04   7.539804e-04   168
  2.384301e-01   1.090068e-02   0.000000e+00   1.474741e-03   120
  2.389801e-01   1.223033e-02   1.714308e-04   6.910748e-04   350
  2.398744e-01   1.652155e-02   2.822081e-04   1.040027e-03   384
  2.404088e-01   1.553282e-02   0.000000e+00   1.573148e-03   144
  2.413921e-01   1.260104e-02   0.000000e+00   8.392177e-04   288
  2.419055e-01   1.448579e-02   1.615394e-04   8.806069e-04   336
  2.426039e-01   1.238030e-02   1.470682e-04   1.058100e-03   168
  2.430220e-01   1.550630e-02   6.498988e-09   9.603577e-04   336
  2.438868e-01   1.105666e-02   1.526480e-04   8.132465e-04   288
  2.444062e-01   1.518597e-02   1.438335e-04   1.166796e-03   264
  2.452858e-01   1.397433e-02   0.000000e+00   1.083684e-03   240
  2.456075e-01   1.185127e-02   3.596531e-09   1.153658e-03   96
  2.467620e-01   1.492406e-02   1.956039e-04   8.399490e-04   360
  2.473008e-01   1.687235e-02   1.441936e-04   1.828394e-03   168
  2.479816e-01   1.363204e-02   1.571860e-04   7.253374e-04   456
  2.488014e-01   1.536119e-02   3.196917e-09   1.734808e-03   108
  2.492626e-01   1.079402e-02   1.577159e-04   6.752419e-04   264
